BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings,Mechanics,Categories
85775,Virgins,2010,"In Virgins you play the Lord of two villages, and as Lord you choose which villagers stay and which villagers travel to other player's villages. Adding fuel to the fire, a Dragon has taken up residence near by!&#10;&#10;The Dragon has agreed not to burn down your villages if you sacrifice Virgins to it (bit of a stereo-type, that). For the good of your villages you've got to keep your Virgins uh, virgins.&#10;&#10;So send any Strapping Youths, the Bad Boy, and that smooth singing Musician off to another player's village! Don't forget to keep the Sheriff in a friendly village to keep the peace and if you can, make sure the Bartender only gets the Blacksmith drunk!&#10;&#10;If there are no virgins to sacrifice at the end of a round the dragon does what dragons do best. Burning down your villages and gobbling everyone up even you Lords!&#10;&#10;",3,5,20,20,6.125,0,4,"['Hand Management', 'Storytelling']","['Card Game', 'Fantasy', 'Humor', 'Mature / Adult']"
105056,1 vs. 100 DVD Board Game,2007,"In this DVD game, host Bob Saget asks players multiple-choice trivia questions, as they compete against 100 Mob members. The object of the game is to eliminate the entire Mob and win up to $1,000,000 in pretend money. The host asks the player and the Mob the same multiple-choice trivia question. If the player gets it right, they win money for each Mob member that answered incorrectly, plus eliminates those Mob members from the game. If the player gets the question wrong, the Mob splits the winnings and the game is over. At certain points, the player will have opportunities to stop the game and leave with their winnings or risk all of their winnings and play for more money.  This DVD Board Game includes the DVD game and player cards.&#10;&#10;",1,7,30,30,4.625,0,8,[],"['Movies / TV / Radio theme', 'Trivia']"
296481,The Bugbear No. 1: Class-as-Race,2019,"From publisher blurb:&#10;&#10;The Bugbear is a publication dedicated to stripping away the fluff from mechanics and re- skinning them so that Players and Referees have the kind of freedom that allows a bugbear to be a pumpkin-headed giant, a cross between a bug and a bear, or a giant hairy goblin.&#10;&#10;Variant rules for use with Ba5ic, a fantasy role-playing game that encourages players to explore worlds of magic, monsters, and whatever else they can imagine. The game is designed to be rules-light, making improvisational, pick-up, and long-term play a breeze for beginner and veteran players alike.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
71101,X-Men,N/A,"From back of game case;&#10;&#10;Magneto Makes His Move!&#10;&#10;The Evil mutant magneto has devised the world's deadliest computer virus. its sole purpose: to destroy the Uncanny X-Men.&#10;&#10;Now Wolverine, Gambit, Cyclops, and Nightcrawler join Storm, iceman, Archangel, Jean Grey, and rogue to stop Magneto from carrying out his diabolicial plan.&#10;&#10;Their target is Magneto's secret base on Asteroid M. But lying in ambush are the murderous arch villains Juggernaut, Sabertooth, Mojo, and Deathbird.&#10;&#10;Will Wolverine's adamantium claws and Gambit's energy charged playing cards be enough to defeat the forces of Magneto? That's up to you.&#10;&#10;",1,2,N/A,N/A,6.06129,5.75995,31,[],[]
74629,Hunter Sheets Issue One,2007,"From the back of the book:&#10;&#10;Hunter Sheets. A quick opportunity for wealth and fame. Or an even quicker death...&#10;&#10;This first collection of Sheets gives info on 20 subversives that SLA Industries wants terminated with extreme prejudice. From DarkNight Contract Killer Brad 'Bar' Sinister to rogue Vevaphon Seraph, these are targets that will test operatives' skills (and LAD accounts) to their limits. Also included are some more details on Chi'en blood magic and the Krell. This ancient alien race was believed to be long dead, until they returned to reclaim their home world of Xaime. SLA Industries is a game of urban horror with a dedicated and expanding fanbase.&#10;&#10;",N/A,N/A,N/A,N/A,7.75,0,4,[],[]
93306,Edition Troll: Welt der Spiele Sammelband,0,"&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;User summaryThe Edition Troll - Welt der Spiele Sammelband is a compilation of three randomized generic fantasy adventures that have been glued together in a single cover.&#10;&#10;The adventures are randomly selected from the following items, which have also been available separately:&#10;&#10;     Elfenbanner&#10;     Sternenh&ouml;h&#10;     Ruinen des Schreckens&#10;     Merlins Lieder&#10;     Gralfsee&#10;     Zeit des Nebels&#10;     Geister der Vergangenheit&#10;     Im Auftrag des K&ouml;nigs&#10;     Beowulfs Saga&#10;     Zauberspiegel - Im Banne Zaccatas&#10;     Tod einer Priesterin&#10;&#10;&#10;This was an attempt to make some money of excess stock. The adventures that were glued together included the cardstock covers, which makes browsing difficult and tends to break the binding.&#10;&#10;The page count depends on the adventures that were included.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
295937,Ruins of Ne ork,2019,"From publisher blurb:&#10;&#10;Amidst the burning ruins of the past, a new future awaits! A six-page, quick-play Parsely adventure set in a post-apocalyptic wasteland. It&rsquo;s recommended that you know the rules of Parsely games before playing.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
181981,The Vagrant: Optional Character Class,2015,"From publisher blurb:&#10;&#10;Vagrants are not technically thieves although often they do have some thieving abilities that they have picked up living on the streets of large cities.  What they do possess is an unnatural ability to stay alive.  Whether it be thru trickery, gambling, outright stealing, and on occasion murder.  They always manage to make their way in the world.  More often than not Vagrants are neutral or evil aligned.  Rarely will you find a good aligned vagrant who is just down on his luck.  As far as Weapons & Armour go, Vagrants will only have what they manage to scrape together from various sources: looting dead bodies, stealing from smiths.  Vagrants start with little to no GP's as starting wealth.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
166097,Fantasy! Old School Gaming: Startregler,2014,"From publisher blurb:&#10;&#10;S&auml;tt p&aring; dig rustning och hj&auml;lm, dra sv&auml;rdet, t&auml;nd din fackla och bege dig in bland de olycksb&aring;dande, m&ouml;rka ruinerna! I Fantasy! - Old School Gaming reser du tillbaka till rollspelens barndom, n&auml;r allt var enklare, farligare och roligare. H&auml;r finns alla regler du beh&ouml;ver, flera monster, ett kort&auml;ventyr.&#10;&#10;&#10;Translation courtesy of Google:&#10;&#10;Put on your armor and helmet, drawing the sword, lit your torch and go in among the ominous, dark ruins! In Fantasy! - Old School Gaming traveling back to the role of games childhood, when everything was simpler, more dangerous and more fun. Here are all the rules you need, more monsters, a short adventure.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
94405,Beyond Atlantis II,N/A,"Atlantis III: The New World (Known as Beyond Atlantis II in USA) is a fantasy adventure computer game developed by Cryo Interactive and published by Dreamcatcher Interactive, and released in 2001. It's the third in the Atlantis series by Cryo, as well as the last one made before Cryo's downfall. Similar to the second game, not much of the game is based around Atlantis. It was followed by Atlantis Evolution in 2004.&#10;&#10;Source: Wikipedia, ""Atlantis III: The New World"", available under the CC-BY-SA License.&#10;&#10;",1,1,N/A,N/A,5,0,3,[],[]
7893,Together,1971,"From the box:&#10;&#10;Children work together to solve world and human problems presented in a simplified way. Good for a small or large group. Children are divided into simulated social groups (tribes, nations, etc). Each group gets Problem Cards and a share of Solution Cards. Through discussion, trade agreements, world councils... the players try to solve all the problems facing them. The debriefing session at the end allows for everyone to learn from each other. Our most popular group game! Good for repeated uses.&#10;&#10;",6,36,30,30,10,0,1,['Cooperative Game'],"[""Children's Game"", 'Party Game']"
105244,Villains,0,"You are the leader of a fiendish organization bent on dominating ""The City"", but you are are not alone in the quest to become its undisputed master. Your enemies are lurking in the shadows, watching your every move. If you desire any chance of completing your devilish plans then secrecy must be your watchword. Keep your enemies guessing with bluffs, misdirection, and cunning strategy.&#10;&#10;Villains is a 3-5 player game where each player represents a different faction of archetypal villains (players can choose from the invading aliens, an organized crime family, the robot uprisings, invading soviets and more).&#10;&#10;Each turn the players secretly set their evil plans in motion by placing face down action tokens in different areas of the city. These tokens allow players to deploy troops, play action cards, initiate battles and use special faction specific abilities.&#10;&#10;There are two paths to victory in a game of Villains: be the first player to complete four of your faction's plans or alternatively be the first player to achieve ten victory points by controlling important locations in The City.&#10;&#10;",4,5,180,180,8.98333,0,6,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Secret Unit Deployment', 'Variable Player Powers']","['Deduction', 'Fighting', 'Mafia', 'Spies/Secret Agents']"
176272,Icy Foreshadowing,2015,"From publisher blurb:&#10;&#10;Legend holds that once dragons ruled.  They carved out kingdoms and reigned unchallenged for uncounted millennia.  Only speculation explains why the time of dragons came to an end, but it is doubtful the young races could have arisen if they still ruled.  For several years, it has been an open secret that the dragon cults have been strategizing to bring dragons back.  Signs seem to indicate that at least one cult has succeeded.  Heroes are needed to quash the threat lest it fester into something that could bring disaster to the entire region.  A Dungeons and Dragons 5th Edition Adventure for 1-8 4th level characters.  This is the first episode in the Wyrmling Saga.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
228459,Frigid Reflections,2017,"From publisher blurb:&#10;&#10;The stunning conclusion to the Beyond the Glittering Fane adventure arc, Frigid Reflections takes the PCs north to the mining town of Utivkle to look in on an aging, Stone Touched dwarf. After arriving, they discover that the troubles plaguing Utvikle are far from singular, and if not dealt with, they could spread throughout all of Midgard. After saving Utvikle, the PCs are called on for a greater task, one that will take them into the heart of Nifl&aelig;heim &ndash; the Realm of All Winter itself.&#10;&#10;With hope fading and the nights freezing, the PCs must brave the dangers of the icy realm, facing some of its toughest denizens while working to free their new allies, the &aelig;lven clades of Nifl&aelig;heim. After facing waves of foes and some of the harshest weather any of them have ever seen, the PCs must descend deep into the Temple of Isa &ndash; the Great Temple of the Ice Rune &ndash; to stop two of Mhamnoch&rsquo;s own before they unleash their ancient agendas on the ice &aelig;lves, and after them, anyone else in their path.&#10;&#10;Frigid Reflections is an adventure for 4-5 9th level characters set in the world of Rhune: Dawn of Twilight. Although this adventure is designed exclusively for this setting, it can easily be adapted for any of your favorite Pathfinder Roleplaying Game compatible campaign settings.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
106037,Pingu Acts Up,2007,"A Pingu-themed gamed combining Roll & Move with Charades.&#10;Players play as Pingu, Pinga, Bajoo or Robby the Seal & race to reach the start of the 'I See Slide'.&#10;Along the way, there are 'Act Up' spaces where a player may draw a card & then perform the charade listed. these range from 'Brushing your teeth' & 'Flying a toy plane' to 'Pingu Boogaloo'. If the other players guess your charade, you keep the card & get the points listed on it.&#10;Once a player has reached the start of the Slide, all players move there. Once someone crosses the finish line, the game is over.&#10;The winner is the one who has scored the most points from their charades.&#10;&#10;",2,4,0,0,3,0,1,"['Acting', 'Roll / Spin and Move']","[""Children's Game""]"
3934,Bowling Dice,1999,"from the box: ""All the fun of lane bowling without the gutter balls"" and ""The bowling game you can play anywhere, anytime!""&#10;&#10;Roll the dice, score the points as in bowling, pass the dice to the next player.&#10;&#10;Comes with 10 dice and scoring pad.&#10;&#10;Similar games:&#10;&#10;    Spare Time Bowling&#10;    Bowl and Score&#10;    Bowl-A-Strike&#10;&#10;&#10;",1,10,10,10,4.59469,5.31246,511,"['Dice Rolling', 'Die Icon Resolution', 'Set Collection', 'Solo / Solitaire Game']","[""Children's Game"", 'Dice', 'Sports']"
14445,Tolentino 1815,2000,"When Napoleon escaped from Elba in 1815, his former cavalry commander Murat was still King of Naples. He had switched sides the year before in an attempt to retain his throne, but he soon found that neither Austria nor Britain were willing to keep their promises. When Napoleon marched on Paris, Murat attacked the Austrians in Central Italy. He was defeated in the battle of Tolentino on 2 May. He escaped to France, but Napoleon did not want his services. After Napoleon&acute;s defeat at Waterloo, Murat returned to Italy, where he was executed in October 1815.&#10;&#10;The not so well known battle of Tolentino is the subject of ""Tolentino 1815"" a Napoleonic wargame from Italian wargames magazine ""Alea Iacta Est"". It includes one unmounted 42 x 58 cm map and 216 thin cardboard counters, all in full colour. One game turn represents 2 hours of real time, and one hex is 250 meters.&#10;&#10;The magazine is in Italian, but the rules in English are also included.&#10;&#10;",2,2,3,3,4.86364,0,11,"['Dice Rolling', 'Hexagon Grid']","['Napoleonic', 'Wargame']"
203401,Luther: Das Spiel,2016,"For the 500th anniversary of Martin Luther's Ninety-five Theses of 1517, players in Luther: Das Spiel can now live as Luther's contemporaries, following in his footsteps, traveling the cities where he worked, and encountering important companions of the Reformer.&#10;&#10;",2,4,45,45,5.6541,5.50399,61,"['Open Drafting', 'Point to Point Movement', 'Set Collection']","['Religious', 'Travel']"
125916,Job Creator(?),0,"Job Creator(?) is an economic strategy game.  Players are members of the ""1%"" in a small town.  They own means of production and shops in the town, employ the citizens and produce and sell goods back to the population.  In the beginning of the game, a small percentage of the town is employed, however the population has all of the money they need to buy goods and keep the economy moving. As play progresses, franchises (and later Big Boxes) move into the town, both of these change the purchasing dynamic of the town and makes doing business much harder.&#10;&#10;The game combines ""rondel"" and ""worker placement"" gaming, along with economic strategy.  Victory is determined by Victory Points, which are primarily earned by paying workers (although there are other ways to gain and lose points).&#10;&#10;",2,6,90,90,0,0,0,"['Simulation', 'Stock Holding', 'Worker Placement']","['Economic', 'Educational', 'Industry / Manufacturing']"
162621,Hideous Creatures: Serpent Folk,2014,"From publisher blurb:&#10;&#10;In this series, Kenneth Hite looks at the creatures, species, and monsters of the Cthulhu Mythos from every non-Euclidean angle. Alternate versions and new explanations provide the same jolt of mythic bisociation that the gods and titans receive in the TRAIL OF CTHULHU corebook. Hite traces these foul things through their legendary history, and provides further clues for any Investigator to follow. Horrific scenario seeds burst and bloom, story spines protrude and deform, in a blasphemous garden any Keeper can harvest.&#10;&#10;&ldquo;The features mingled and merged in a seemingly impossible manner. Then, like a fading mask of fog, the face suddenly vanished and in its stead gaped and leered a monstrous serpent&rsquo;s head!&rdquo; They built Valusia before the dinosaurs, and lurk behind half mankind&rsquo;s darkest cults. Are they extra-dimensional, extra-terrestrial, or just extra venomous? You won&rsquo;t fool the Children of Yig, in any skin they wear.&#10;&#10;Hideous Creatures: Serpent Folk is the fourth installment of the Ken Writes About Stuff #2 subscription, or it&rsquo;s available as a stand-alone product.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
55584,Twisted Tales,1997,"From the back cover:&#10;There Are A Thousand Stories In The Weird West(tm)... This Is Yours.&#10;&#10;Sure, we've got some pretty darn good tales about the Weird West(tm) (you can read some of them in our dandy Dime Novels(tm), which come in this very same size), but theones you'll remember the best are your very own.  This here book's got space in it for you to record your posse's wanderings in the Weird West(tm), plus there's a deluxe character record, and rules for giving faithful writers a bonus for their efforts.  Go ahead: Make this book your own!&#10;&#10;",N/A,N/A,N/A,N/A,7,0,3,[],[]
51934,Ghost Cartels,2008,"Publisher blurb:&#10;&#10;The shadows are abuzz about the new drug in the sprawl: tempo. It takes the user on a unique trip, better than anything experienced before. Druggies can&rsquo;t get enough of the stuff, and even beetleheads are giving it a shot. Tempo&rsquo;s popularity shifts the balance of power between the syndicates and soon the blood and bullets are flowing.&#10;&#10;Ghost Cartels drops the runners into the action, involving them in the drug deals and power plays shaking up Seattle, Los Angeles, and Hong Kong - even taking them all the way to the jungles of South America.&#10;&#10;",N/A,N/A,N/A,N/A,6.5,5.72075,10,[],[]
51809,Ecstasy: A Game for Lovers,1980,Ecstasy is a game for lovers who have forgotten the excitement of their mate. The path around the board is meant to get bring partners closer together both emotionally and physically.&#10;&#10;Each player must pass the Preparation space and write down exactly what they want done. The game is completed when one player crosses the finish line. The winner must then have what they wrote down for the preparation space completed.&#10;&#10;,2,2,20,20,0,0,0,"['Acting', 'Role Playing', 'Roll / Spin and Move']",['Mature / Adult']
136476,Wrecked (2012),N/A,"USer summary:&#10;&#10;A non-split screen scrolling top-view multiplayer racing game with weapons. Essentially a multiplayer game though there are single player possibilities. Players race side by side through the stage, trying to push each other off or strike the opponents with missiles, machine guns, mines and the likes.&#10;&#10;Similar to ""Micromachines"", when playing multiplayer, players are crushed if too far behind the leader. On 3&ndash;4 players, crushed players can attack the remaining players with air strikes.&#10;&#10;",1,4,N/A,N/A,8.5,0,3,[],[]
35442,Ta & Ge,0,"For two players or more. The goal is to receive as many white pieces as possible. One player selects something on the wheel. The other player doesn't know what the other has selected and has to guess. Among the alternatives are ""take two pieces"", ""give two pieces"" and so on. Correct guesses are rewarded and wrong ones punished.&#10;&#10;",2,2,0,0,4,0,4,[],['Bluffing']
193885,Pixeline Skolehjælp: Learning English - Money or nothing,N/A,"User Summary&#10;&#10;This is a school aid programme that helps kids learn English in the form of numbers 1-20, the alphabet and understanding individual words - all through mini-games and puzzles.&#10;&#10;You help Pixeline sort out who inherits Guldbergh before the money falls to the greedy lawyer Naerrig (Stingy).&#10;&#10;LEARNING ENGLISH: Money or nothing&#10;&#10;Pixeline har brug for hj&aelig;lp til at l&oslash;se g&aring;den, om hvem der arver de mange millioner som Guldbergh har efterladt til en hemmelig arving. Hvis du ikke finder arvingen, g&aring;ralle pengene til den griske Advokat N&aelig;hrrig.&#10;&#10;I spillet l&aelig;rer du p&aring; en sjov m&aring;de at forst&aring; engelske ord, alfabetet og tallene fra 1-20. Der er i alt hele 11 minispil, der giver en god introduktion af de engelske for begyndere.&#10;&#10;Back of the box&#10;&#10;",1,1,N/A,N/A,0,0,0,[],[]
183137,Tom Clancy's Rainbow Six: Take-Down – Missions in Korea,N/A,"Tom Clancy's Rainbow Six: Take-Down &ndash; Missions in Korea is a South Korean-made PC game release on July, 2001. The game is not based on the Rainbow Six game timeline since the game was not released outside of South Korea and was only made by Kama Digital Entertainment for the South Korean gaming market with major content difference and the game's events on South Korean soil.&#10;&#10;In the game, RAINBOW gets deployed to South Korea and battles seemingly armed terrorists and criminals that have committed various acts, mostly against South Korean nationals.&#10;&#10;Source: Wikipedia, ""https://en.m.wikipedia.org/wiki/Tom_Clancy%27s_Rainbow_Six,"" available under the [ http://creativecommons.org/licenses/by-sa/3.0/  CC-BY-SA License].&#10;&#10;",1,0,N/A,N/A,0,0,0,[],[]
128411,This Hallowed Ground,1986,"""This Hallowed Ground"" is a set of rules for American Civil War 15mm military figures. These rules are designed for grand tactical play. The scale is set at six turns per hour and one inch for twenty-five yards. Movement, fire, and morale are based upon the brigade (consisting of one to six regiments for infantry and cavalry.) Artillery is structured around a battery of four to six guns (represented by a single unit.) Included is a sample (and partial) Order of Battle for Gettysburg and a supplement for adapting the rules to fictious battles against forces loyal to the Emperor Maxmillian I of Mexico.&#10;&#10; &#10;These rules are quite comprehensive, including command control, weather and other random events (such as pre-battle disease), artillery crew casualties, the effects of unit training/experience, close action procedures, morale, sighting and line-of-fire, and much more. &#10; Three appendices are included: A graphic description of formations; a brief description for conversion to 25mm figures; and a glossary.&#10;&#10;",0,0,0,0,0,0,0,[],"['American Civil War', 'Miniatures', 'Wargame']"
69159,Disney Handy Manny: Fleißige Handwerker,2010,"The game contains a tool box, six chips which show two different tools on their two sides (each tool appears twice) and 16 repair cards which show things that have to be repaired and the three tools needed for that.&#10;&#10;One card is flipped open and all chips are put into the tool box. The active player shakes the tool box well, then flips it over and checks whether the chips (which fell out) show the three necessary tool symbols. If yes, then the player gets the card. If not, the chips are returned to the tool box and the box is passed on to the next player. The player with most cards at the end of the game is the winner.&#10;&#10;",1,4,10,10,3,0,3,[],"[""Children's Game"", 'Movies / TV / Radio theme']"
225063,Horrors of the Lifechain Volume II,2017,"From publisher blurb:&#10;&#10;The Multiverse is more dangerous than you thought.                      &#10;&#10;Horrors of the Lifechain Volume II introduces more than forty new threats for space-faring heroes and Lifespawn post humans. Bestial xeno-predators, militant alien warlords, cunning cosmic manipulators and ghoulish, star-flying undead all menace the galaxy. Some creatures are Lifespawn and feed exclusively on their own kind, while other new monsters are built specifically to menace Anthro or Battlechanger heroes.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
201660,The Battle for Sector 219,N/A,The Battle for Sector 219 is an abstract strategy card game where two players field a sci-fi army battling a rival race for control of a world's capital city. The game is easy to learn and quick to play but has a depth of strategy usually found only in games that takes much longer to play.&#10;&#10;Source: The Game Website.&#10;&#10;,1,1,N/A,N/A,0,0,0,[],[]
250648,Fireball Island: The Curse of Vul-Kar – Treasure Trove,2018,"Treasure Trove includes more souvenir cards to shuffle into the souvenir deck, legendary artifact cards for you to discover, and injury cards which give you a choice to take a random disadvantage rather than give up a treasure when hit by a fireball.&#10;&#10;These cards won't be in the retail game which is what is being shipped to backers so they will come as an extra package. The publisher has said that they will be selling it only through their web store, conventions, and maybe the BGG store.&#10;&#10;This expansion to Fireball Island: The Curse of Vul-Kar is a collection of cards unlocked via stretch goals during the Kickstarter campaign.&#10;&#10;Contents:&#10;Hangry (12 souvenirs that ramp up the meanness to 11!)&#10;Injuries (12 cards you can take instead of losing a treasure)&#10;Legendary Artifacts (6 super-powerful souvenirs)&#10;Bonus Souvenirs (18 new souvenirs to add to your regular deck)&#10;3 Blank souvenir and 2 blank injury cards so you can make your own designs&#10;&#10;",2,4,30,45,7.19955,5.83718,549,"['Action Points', 'Action Queue', 'Area Movement', 'Pick-up and Deliver', 'Push Your Luck', 'Set Collection', 'Take That']","['Expansion for Base-game', 'Action / Dexterity', 'Adventure', 'Travel']"
18313,Kampfgruppe,1979,Micro Scale 20mm scale Table top Wargames for fast play. Emphasis on Tank Battles&#10;&#10;,2,2,100,100,8.5,0,2,"['Dice Rolling', 'Variable Phase Order']","['Miniatures', 'Wargame', 'World War II']"
2076,Gulf Strike,1983,"Gulf Strike was designed to be the state of the art in Land, Air, and Sea modern simulation. Since its original release, Gulf Strike has shown its ability to simulate the changing character of the Gulf Wars from the Iran-Iraq war to the Iraqi invasion of Kuwait and its potential aftermath. In fact the original 1983 edition correctly anticipated the type and character of units the United States would send to the region in the event of a crisis. Seven complete scenarios cover the recent history of the region, plus the current Desert Shield operation, and portray the multitude of alliances possible to counter threats arising in numerous quarters. Complete air, land, and sea orders of battle for several dozen nations allow you to fight each conflict to its unpredictable and often startling conclusion.&#10;&#10;",2,2,360,360,6.67778,5.6644,432,"['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Ratio / Combat Results Table', 'Scenario / Mission / Campaign Game', 'Simulation']","['Modern Warfare', 'Political', 'Wargame']"
216622,Et pour quelques coupes de plus,2005,"A One-Round Living Greyhawk Ekbir Introductory Adventure&#10;&#10;From the introduction:&#10;&#10;Le grand championnat de Kura se produit dans la capitale. L&rsquo;occasion d&rsquo;attirer encore plus de monde que d&rsquo;habitude. La f&ecirc;te bat son plein. Mais un homme vient de d&eacute;couvrir l&rsquo;impensable, et veut en tirer partie.&#10;&#10;Une aventure d&rsquo;introduction pour personnages de niveau 1 seulement.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
58784,Equivalent TRIOs,0,"Enhance understanding of equivalents in a fun and new way!&#10;&#10;Students will gain practice with solving and finding equivalents of percents, decimals, fractions, reduced fractions, and pictures in this domino like game.&#10;&#10;",2,4,0,0,0,0,0,[],['Educational']
163518,"Rúna (Season 2, Issue 3 - 1995)",N/A,A kr&aacute;ni fejvad&aacute;sz (M.A.G.U.S.)&#10;Ynevi napt&aacute;r (M.A.G.U.S.)&#10;Ifin - egy kieg&eacute;sz&iacute;t&#197;&#145; beharangoz&aacute;sa (M.A.G.U.S.)&#10;Besti&aacute;rium - hat &uacute;j bestia (M.A.G.U.S.)&#10;Az ismerets&eacute;g es&eacute;lye (M.A.G.U.S.)&#10;Konverzi&oacute;: M.A.G.U.S. - AD&D (M.A.G.U.S.)&#10;Mutatv&aacute;nyok (AD&D)&#10;A hal&aacute;lcsillag (Star Wars)&#10;Eszel&#197;&#145;s sz&aacute;guld&aacute;s 2. (Star Wars)&#10;M&iacute;tosz - az &uacute;j k&aacute;rtyaj&aacute;t&eacute;k&#10;A R&uacute;na I. &eacute;vfolyam tartalomjegyz&eacute;ke&#10;K&eacute;preg&eacute;ny - Boldogs&aacute;gban...&#10;Armageddon kritika&#10;Nephilim ismertet&eacute;s&#10;Lovecraft essz&eacute; - 3. r&eacute;sz&#10;&Eacute;szak l&aacute;ngjai&#10;Levelez&eacute;s&#10;Kitekint&eacute;s&#10;&#10;,N/A,N/A,N/A,N/A,0,0,0,[],[]
136809,Shark Cards,2007,"From the back of the box:&#10;Take a deep breath and dive into fascinating shark-themed card games like Shark's Tooth Rummy, Sink or Swim, and Wild Wobbegong. Want to know which sharks are nocturnal? Which can leap out of the water? Which is known as ""white death""? This fact-filled deck turns the world of sharks into games for your brain.&#10;&#10;User Summary:&#10;Shark cards are similar to a standard set of playing cards except each of the 4 suits contains 12 cards (rather than 13). Each of the 12 cards contains a picture of a shark and a description.&#10;&#10;There are also 12 Challenge Cards that ask players to look for Sharks with particular characteristics.&#10;&#10;The game has rules for 5 different games:&#10;Deep Dive (Similar to Go Fish)&#10;Sink or Swim (Similar to Concentration)&#10;Shark's Tooth Rummy (Similar to Gin Rummy)&#10;Wild Wobbegong (Similar to Crazy Eights)&#10;Food Chain (Similar to Solitaire)&#10;&#10;",1,4,0,0,4.5,0,1,"['Hand Management', 'Memory', 'Set Collection']","['Animals', 'Card Game', ""Children's Game""]"
224580,Woodson Pond,1999,"From the introduction:&#10;&#10;This adventure brings the investigators to the American South to help debunk the claim that a tract of land is haunted. Unfortunately, the real estate agent who hires the investigators will vanish while showing a client the land in question.&#10;&#10;The action is set in Florida in modern times. With some slight modifications it can be set in a different place and/or time. The adventure itself is fairly short and straightforward, but is still fairly dangerous.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
160337,"Heroes Weekly (Vol 3, Issue 22 - Absinthe)",N/A,From publisher blurb:&#10;&#10;Absinthe&#10;&#10;A new demon to bring home to mom.&#10;&#10;,N/A,N/A,N/A,N/A,0,0,0,[],[]
231690,Goobles & Goblins,2015,"An RPG for Kids and Adults&#10;&#10;Publisher's blurb:&#10;&#10;Goobles & Goblins is a pen-and-paper role-playing game for parents to play with their children, or for any adult to play with the kids in their life.&#10;&#10;Young players will take on the role of courageous heroes as they embark on fantastic quests in a fantasy world filled with danger (and just a bit of silliness). The adult running the game becomes the Storyteller, guiding the creation of the game world and populating it with strange creatures, legendary treasures, and all manner of challenges for the players.&#10;&#10;Young heroes will need all of their Strength, Speed, and Smarts (as well as a healthy dose of imagination) in order to achieve their legendary destinies.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
285679,The Exodus of Wolfbane,2019,"From publisher blurb:&#10;&#10;A 64-page 0 to 2nd-Level Epic Adventure from Gaming Honors&#10;&#10;Yesterday the village of Wolfbane was razed to the ground by a jealous king determined to find Shadowforde, the mysterious spellcaster who has aided the citizens for generations. Now you and a few dozen survivors are on the run, desperately trying to protect Shadowforde and reach his mythical homeland, Stonewater &mdash; your only hope of a safe haven.&#10;&#10;The journey will take weeks, and the way is full of danger.&#10;&#10;Shadowforde is weak and ill. The king&rsquo;s men are hunting you. And you are searching for a legend.&#10;&#10;The Exodus of Wolfbane is an epic 0- to 2nd-level adventure fully compatible with the Dungeon Crawl Classics roleplaying game. Your peasants will become hardened heroes as they battle strange monsters, harsh elements, and the king&rsquo;s cruel soldiers. You will grapple with mysteries, hauntings, moral dilemmas, and death-defying chases.&#10;&#10;And what will be waiting for you if you manage to reach Stonewater?&#10;&#10;Take the journey and find out!&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
